"编号","来源","发布方","支持内容","URL","证据等级"
"E001","Duolingo App Store","Apple App Store","当前公开课程、Streak、Leaderboards、提醒、订阅和 Max Video Call 等功能","https://apps.apple.com/us/app/duolingo-language-lessons/id570060128","Confirmed"
"E002","The complete guide to Duolingo","Duolingo Blog","课程开始、路径、Streak、XP、Quests、League 等使用结构","https://blog.duolingo.com/duolingo-101-how-to-learn-a-language-on-duolingo/","Confirmed"
"E003","How Duolingo teaches","Duolingo Blog","路径设计、短课、即时反馈和教学方法","https://blog.duolingo.com/how-duolingo-teaches/","Confirmed"
"E004","What are Duolingo Leagues?","Duolingo Blog","排行榜、周赛、晋级与竞争循环","https://blog.duolingo.com/duolingo-leagues-leaderboards/","Confirmed"
"E005","How to use Practice Hub","Duolingo Blog","个性化复习、错误和薄弱内容练习","https://blog.duolingo.com/guide-to-duolingo-practice-hub/","Confirmed"
"E006","Video Call with Lily","Duolingo Blog","Max 实时 AI 视频对话、水平适配和会后反馈","https://blog.duolingo.com/video-call-with-lily/","Confirmed"
"E007","AI safety in Video Call","Duolingo Blog","Video Call 安全护栏、对话和学习目标","https://blog.duolingo.com/ai-video-call/","Confirmed"
"E008","Introducing Duolingo Max","Duolingo Blog","Roleplay、Explain My Answer 与生成式 AI 订阅能力","https://blog.duolingo.com/duolingo-max/","Confirmed"
"E009","Testing the new Energy system","Duolingo Blog","2025-06-24 说明从 Hearts 向 Energy 机制测试和调整","https://blog.duolingo.com/duolingo-energy/","Confirmed"
"E010","Product and business updates","Duolingo Investor Relations","规模、订阅、AI 功能和产品迭代公开资料","https://investors.duolingo.com/","Confirmed"
